Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
"C1, C2",603,2,10u,C19702
"C10, C11, C13, C6, C8, C9",603,6,100n,C1591
"C3, C7",603,2,1u,C15849
"C4, C5",603,2,15p,C1644
CARD2,TF-SMD_TF-01A,1,TF-01A,C91145
"LED_PWR1, LED_PWR2",LED0603-RD_GREEN,2,XL-1608UGC-04,C965804
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3400A_C347475,C347475
Q2,SOT-25_L3.0-W1.6-P0.95-LS2.8-TL,1,XC6220B331MR-G,C86534
R1,603,1,5.1K,C2907044
"R10, R9",603,2,150,C114608
"R2, R8",603,2,10K,C98220
"R3, R5",603,2,1k,C22548
"R6, R7",603,2,27.4,C5126244
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SW-SMD_8P-L6.7-W5.4-P1.27-LS8.4,1,DSHP04TSGER_C3293144,C3293144
U3,SOT-23-6,1,USBLC6-2SC6,C7519
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U5,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
U8,Ai-Thinker-Ra-01-LoRa,1,Ai-Thinker-Ra-02,C90039
USB2,USB-C-SMD_U261-121N-4BS2S,1,U261-121N-4BS2S,C2879827